BTMR0941,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O
BTMR0042,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C
BTMR0042,CC=O
BTMR1148,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C
BTMR9031,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C
BTMR1354,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O
BTMR1349,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C
BTMR1349,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C
BTMR1317,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O
BTMR1317,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C
BTMR0505,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
BTMR1077,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C
BTMR1292,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC
BTMR1292,O=C
BTMR0079,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O
BTMR0052,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O
BTMR0052,CC=O
BTMR1099,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O
BTMR9289,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O
BTMR9320,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C)O
BTMR9285,C(CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O)O
BTMR9285,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C)O
BTMR1190,C=CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O
BTMR1328,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C)O
BTMR1332,CCC(C1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)O
BTMR1099,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])O)C
BTMR9289,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)O)C
BTMR9320,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)O)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)O)C
BTMR9285,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C
BTMR1037,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C(=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)O)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O
BTMR0862,CC(=O)O
BTMR1277,C(C=O)O
BTMR0945,CCO
BTMR9320,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O
BTMR9290,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(C[N+](CC4)(C)[O-])O)OCC)C
BTMR9290,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC([N+](CC4)(C)[O-])O)OCC)C
BTMR1061,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O
BTMR1061,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCCO)C
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C
BTMR1328,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OC(C)O)C
BTMR1332,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)[O-])OCC)C
BTMR1332,O=C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC
BTMR9320,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CNCC4)O)OCC)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(NCC4)O)OCC)C
BTMR9285,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O
BTMR9285,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCCO)C
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C
BTMR1328,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OC(C)O)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC
BTMR1332,O=C
BTMR0079,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O
BTMR1070,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C)O
BTMR1070,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C)O
BTMR1061,C(C(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O)O
BTMR1061,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C)O
BTMR1190,C=C(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O
BTMR1328,CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C)O
BTMR1332,CC(CC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)O
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(C(N(CC4)C)O)O)OCC)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(C(C4)O)C)O)OCC)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4O)C)O)OCC)C
BTMR9285,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C)O
BTMR9285,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCCO)C
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C
BTMR1328,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OC(C)O)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(C(N(CC4)C)O)O)OCC)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(C(C4)O)C)O)OCC)C
BTMR1070,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(C(C4)O)C)O)OCC)C
BTMR9285,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C)O
BTMR9285,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCCO)C
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C
BTMR1328,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OC(C)O)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC
BTMR1061,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C)O
BTMR1328,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C)O
BTMR1328,C(C(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O)O
BTMR1332,C(CCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)O
BTMR0105,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC=O)C
BTMR1190,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO
BTMR0109,C1C(CC2=NN(C3=C2N=C(NC3=O)C4=C(C=CC(=C4)S(=O)(=O)N5CCN(CC5)C)OCC)C)O1
BTMR1328,C=CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C
BTMR1332,C=CCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC
BTMR9285,C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C)O
BTMR9285,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(CO)O)C
BTMR1332,CCCC1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O
BTMR0096,OC
BTMR1077,O=CO
BTMR0052,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)=O
BTMR0052,CC=O
BTMR1099,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)=O
BTMR9289,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)=O
BTMR1074,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C)=O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C)=O
BTMR1061,C(CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O)O
BTMR1061,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C)=O
BTMR1190,C=CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O
BTMR1328,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OC(C)O)C)=O
BTMR1332,CCC(C1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)=O
BTMR1099,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])O)C)O
BTMR9289,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)O)C)O
BTMR9320,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)O)C)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)O)C)O
BTMR9285,C(CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O)O
BTMR1190,C=CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C)O
BTMR1037,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C(=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)O)C)O
BTMR1332,CCC(C1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)O
BTMR9320,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O)O
BTMR9290,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(C[N+](CC4)(C)[O-])O)OCC)C)O
BTMR9290,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC([N+](CC4)(C)[O-])O)OCC)C)O
BTMR9285,C(CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O)O
BTMR9285,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCCO)C)O
BTMR1190,C=CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C)O
BTMR1328,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OC(C)O)C)O
BTMR1332,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)[O-])OCC)C)O
BTMR1332,O=C
BTMR1332,CCC(C1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)O
BTMR9320,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CNCC4)O)OCC)C)O
BTMR1070,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(NCC4)O)OCC)C)O
BTMR9285,C(CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O)O
BTMR9285,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCCO)C)O
BTMR1190,C=CC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C)O
BTMR1328,CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OC(C)O)C)O
BTMR1332,CCC(C1=NNC2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)O
BTMR1332,O=C
BTMR0079,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O)=O
BTMR0079,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)=O)O
BTMR1070,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C)O)O
BTMR1070,CC(C(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C)O)O
